alert_type,severity,detected_at,details
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.288986,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66958.71 | Qty 126.60069
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289012,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66963.5 | Qty 126.60213
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289037,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66966.87 | Qty 133.22695
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289063,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66969.64 | Qty 133.23416
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289093,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66969.63 | Qty 133.23429
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289119,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66958.92 | Qty 133.95373
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289145,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66950.1 | Qty 133.96132
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289170,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66950.1 | Qty 133.96451
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289196,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66950.1 | Qty 133.9879
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289222,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66956.4 | Qty 143.9792
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289247,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66958.53 | Qty 144.17019
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289275,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66955.63 | Qty 144.15095
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289301,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66959.1 | Qty 154.12056
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289326,Trader UNKNOWN (Binance public data) | BTCUSDT | Price nan | Qty 154.09589
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.289352,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66961.85 | Qty 154.11358
